id,label
0,2
1,3
2,3
3,6
4,3
5,1
6,4
7,2
8,3
9,5
10,2
11,7
12,5
13,7
14,6
15,3
16,7
17,7
18,3
19,3
20,3
21,6
22,4
23,3
24,1
25,1
26,5
27,6
28,5
29,1
30,3
31,1
32,2
33,4
34,5
35,5
36,1
37,6
38,6
39,1
40,1
41,1
42,1
43,1
44,5
45,1
46,4
47,7
48,6
49,4
50,5
51,7
52,1
53,7
54,6
55,6
56,2
57,3
58,2
59,1
60,7
61,7
62,6
63,6
64,1
65,4
66,5
67,2
68,5
69,5
70,1
71,3
72,6
73,2
74,6
75,3
76,4
77,1
78,7
79,2
80,1
81,4
82,1
83,2
84,1
85,4
86,6
87,7
88,1
89,4
90,3
91,1
92,2
93,7
94,4
95,6
96,1
97,3
98,1
99,6
100,3
101,5
102,1
103,4
104,7
105,1
106,4
107,3
108,6
109,1
110,7
111,7
112,6
113,7
114,6
115,4
116,7
117,4
118,4
119,1
120,4
121,6
122,2
123,4
124,2
125,3
126,6
127,6
128,2
129,6
130,1
131,7
132,4
133,2
134,5
135,3
136,5
137,6
138,2
139,3
140,4
141,4
142,2
143,3
144,2
145,5
146,5
147,6
148,2
149,5
150,5
151,3
152,6
153,7
154,1
155,1
156,1
157,7
158,6
159,3
160,1
161,2
162,6
163,5
164,7
165,1
166,1
167,5
168,3
169,6
170,2
171,3
172,3
173,3
174,2
175,2
176,5
177,1
178,6
179,4
180,1
181,1
182,4
183,5
184,2
185,6
186,1
187,5
188,6
189,3
190,5
191,6
192,6
193,2
194,7
195,7
196,4
197,7
198,4
199,3
200,1
201,1
202,7
203,7
204,2
205,7
206,7
207,3
208,4
209,3
210,3
211,3
212,3
213,5
214,6
215,3
216,4
217,6
218,4
219,2
220,4
221,1
222,3
223,7
224,1
225,5
226,6
227,3
228,6
229,7
230,6
231,1
232,5
233,3
234,4
235,1
236,1
237,2
238,3
239,1
240,2
241,4
242,1
243,5
244,6
245,4
246,6
247,4
248,5
249,4
250,2
251,2
252,1
253,5
254,3
255,3
256,1
257,5
258,6
259,7
260,5
261,4
262,5
263,4
264,7
265,5
266,7
267,7
268,6
269,1
270,4
271,2
272,2
273,2
274,5
275,5
276,7
277,1
278,6
279,5
280,5
281,4
282,3
283,2
284,3
285,2
286,7
287,3
288,4
289,1
290,1
291,3
292,6
293,6
294,5
295,1
296,2
297,7
298,1
299,1
300,7
301,2
302,6
303,6
304,4
305,7
306,1
307,2
308,7
309,5
310,3
311,7
312,3
313,2
314,7
315,3
316,4
317,7
318,1
319,3
320,2
321,3
322,5
323,1
324,5
325,6
326,6
327,4
328,2
329,5
330,1
331,4
332,7
333,7
334,3
335,6
336,7
337,7
338,4
339,4
340,3
341,7
342,5
343,2
344,2
345,6
346,3
347,1
348,1
349,2
350,5
351,6
352,6
353,1
354,6
355,2
356,2
357,5
358,6
359,6
360,6
361,4
362,6
363,6
364,7
365,7
366,2
367,4
368,4
369,5
370,3
371,7
372,7
373,5
374,3
375,7
376,5
377,4
378,3
379,1
380,5
381,1
382,5
383,3
384,3
385,3
386,7
387,7
388,1
389,1
390,2
391,4
392,5
393,3
394,3
395,1
396,5
397,7
398,2
399,1
400,7
401,1
402,4
403,3
404,3
405,5
406,2
407,7
408,4
409,7
410,1
411,6
412,5
413,5
414,4
415,3
416,4
417,5
418,5
419,5
420,6
421,1
422,4
423,6
424,6
425,1
426,5
427,4
428,3
429,7
430,3
431,1
432,1
433,2
434,1
435,2
436,7
437,6
438,1
439,7
440,2
441,2
442,6
443,2
444,3
445,5
446,5
447,6
448,6
449,6
450,7
451,2
452,7
453,2
454,5
455,3
456,2
457,1
458,2
459,6
460,5
461,1
462,1
463,5
464,4
465,6
466,1
467,3
468,2
469,1
470,1
471,3
472,2
473,7
474,5
475,1
476,4
477,1
478,1
479,7
480,6
481,3
482,1
483,2
484,7
485,6
486,5
487,7
488,1
489,7
490,2
491,7
492,2
493,7
494,4
495,5
496,7
497,7
498,1
499,1
500,7
501,1
502,7
503,7
504,3
505,4
506,7
507,1
508,6
509,1
510,6
511,1
512,1
513,4
514,3
515,5
516,4
517,6
518,1
519,1
520,7
521,1
522,2
523,6
524,1
525,6
526,7
527,3
528,5
529,1
530,6
531,1
532,7
533,2
534,2
535,6
536,7
537,1
538,6
539,7
540,5
541,4
542,4
543,1
544,4
545,6
546,6
547,2
548,6
549,3
550,3
551,6
552,7
553,4
554,1
555,1
556,3
557,6
558,4
559,5
560,4
561,7
562,5
563,2
564,1
565,1
566,5
567,6
568,4
569,7
570,4
571,7
572,5
573,5
574,1
575,5
576,2
577,7
578,1
579,5
580,2
581,1
582,6
583,6
584,3
585,7
586,1
587,4
588,1
589,1
590,2
591,4
592,4
593,6
594,6
595,5
596,2
597,2
598,7
599,6
600,3
601,6
602,4
603,3
604,2
605,1
606,1
607,5
608,4
609,4
610,2
611,4
612,1
613,7
614,4
615,4
616,7
617,2
618,4
619,7
620,2
621,7
622,4
623,3
624,1
625,1
626,3
627,4
628,3
629,1
630,2
631,3
632,3
633,4
634,5
635,1
636,3
637,2
638,1
639,5
640,3
641,1
642,2
643,1
644,4
645,1
646,4
647,6
648,6
649,4
650,3
651,6
