id,label
0,5
1,4
2,1
3,2
4,4
5,5
6,5
7,6
8,3
9,1
10,3
11,4
12,3
13,5
14,2
15,3
16,2
17,5
18,3
19,6
20,6
21,1
22,5
23,5
24,5
25,4
26,7
27,1
28,1
29,6
30,7
31,1
32,7
33,7
34,1
35,7
36,2
37,3
38,5
39,3
40,3
41,7
42,5
43,2
44,2
45,4
46,4
47,1
48,5
49,3
50,2
51,7
52,5
53,7
54,4
55,5
56,3
57,7
58,4
59,5
60,6
61,1
62,1
63,6
64,6
65,4
66,5
67,7
68,5
69,4
70,2
71,3
72,3
73,6
74,6
75,2
76,7
77,1
78,2
79,3
80,1
81,4
82,2
83,3
84,2
85,3
86,3
87,1
88,4
89,6
90,5
91,3
92,2
93,4
94,1
95,1
96,2
97,4
98,4
99,3
100,3
101,7
102,4
103,1
104,2
105,1
106,4
107,1
108,6
109,4
110,7
111,7
112,2
113,7
114,1
115,1
116,3
117,1
118,3
119,6
120,1
121,3
122,4
123,1
124,6
125,5
126,2
127,5
128,6
129,6
130,5
131,6
132,7
133,3
134,1
135,3
136,1
137,3
138,3
139,6
140,7
141,6
142,4
143,6
144,1
145,2
146,5
147,6
148,2
149,2
150,3
151,3
152,5
153,1
154,7
155,5
156,7
157,6
158,2
159,5
160,1
161,3
162,5
163,5
164,5
165,1
166,1
167,2
168,2
169,1
170,6
171,7
172,4
173,6
174,2
175,2
176,6
177,2
178,6
179,5
180,1
181,7
182,1
183,2
184,4
185,5
186,6
187,7
188,5
189,6
190,7
191,1
192,4
193,3
194,2
195,1
196,5
197,1
198,7
199,2
200,3
201,2
202,4
203,6
204,4
205,4
206,5
207,1
208,6
209,1
210,2
211,7
212,6
213,1
214,6
215,3
216,3
217,3
218,1
219,1
220,5
221,1
222,4
223,2
224,3
225,5
226,6
227,7
228,1
229,6
230,3
231,6
232,2
233,5
234,4
235,6
236,4
237,6
238,7
239,5
240,5
241,6
242,2
243,6
244,1
245,3
246,6
247,4
248,4
249,5
250,5
251,5
252,1
253,2
254,7
255,6
256,1
257,2
258,5
259,6
260,4
261,4
262,3
263,4
264,1
265,2
266,1
267,4
268,3
269,5
270,7
271,4
272,1
273,6
274,3
275,6
276,6
277,4
278,1
279,1
280,6
281,1
282,2
283,4
284,6
285,7
286,1
287,7
288,5
289,1
290,1
291,1
292,1
293,1
294,7
295,7
296,7
297,7
298,2
299,3
300,4
301,1
302,5
303,3
304,3
305,7
306,1
307,6
308,4
309,4
310,3
311,3
312,3
313,3
314,4
315,7
316,3
317,1
318,5
319,7
320,1
321,1
322,2
323,4
324,6
325,6
326,1
327,6
328,4
329,1
330,1
331,7
332,5
333,6
334,1
335,3
336,3
337,1
338,5
339,5
340,7
341,1
342,1
343,3
344,4
345,4
346,3
347,2
348,1
349,5
350,2
351,3
352,7
353,3
354,4
355,1
356,7
357,1
358,4
359,7
360,5
361,4
362,5
363,6
364,4
365,1
366,7
367,7
368,3
369,3
370,4
371,6
372,4
373,7
374,1
375,7
376,3
377,2
378,5
379,5
380,3
381,4
382,6
383,2
384,6
385,5
386,6
387,4
388,1
389,1
390,2
391,6
392,5
393,4
394,1
395,2
396,7
397,7
398,7
399,6
400,1
401,6
402,5
403,4
404,7
405,3
406,6
407,5
408,2
409,4
410,2
411,3
412,5
413,4
414,7
415,1
416,4
417,6
418,1
419,2
420,3
421,6
422,2
423,5
424,6
425,2
426,4
427,4
428,2
429,7
430,7
431,5
432,7
433,6
434,1
435,2
436,1
437,5
438,3
439,6
440,1
441,3
442,1
443,3
444,5
445,3
446,3
447,7
448,3
449,4
450,6
451,2
452,6
453,7
454,3
455,7
456,6
457,1
458,5
459,1
460,1
461,1
462,3
463,1
464,3
465,5
466,3
467,4
468,1
469,6
470,5
471,4
472,4
473,5
474,4
475,3
476,7
477,7
478,6
479,5
480,5
481,2
482,7
483,4
484,5
485,4
486,7
487,6
488,5
489,7
490,3
491,7
492,2
493,4
494,7
495,1
496,4
497,6
498,2
499,7
500,1
501,7
502,1
503,2
504,6
505,1
506,7
507,4
508,1
509,7
510,6
511,3
512,7
513,3
514,7
515,4
516,3
517,6
518,6
519,6
520,5
521,7
522,4
523,2
524,3
525,7
526,2
527,1
528,6
529,1
530,7
531,1
532,6
533,2
534,7
535,4
536,5
537,6
538,5
539,6
540,7
541,3
542,2
543,6
544,6
545,3
546,2
547,2
548,5
549,4
550,5
551,7
552,7
553,7
554,3
555,5
556,6
557,1
558,5
559,4
560,7
561,3
562,1
563,6
564,1
565,4
566,1
567,5
568,5
569,6
570,1
571,5
572,5
573,3
574,7
575,5
576,1
577,4
578,3
579,1
580,1
581,5
582,6
583,4
584,6
585,1
586,4
587,5
588,2
589,5
590,7
591,2
592,2
593,3
594,5
595,2
596,1
597,1
598,1
599,1
600,3
601,1
602,6
603,1
604,6
605,7
606,2
607,3
608,5
609,7
610,5
611,5
612,3
613,5
614,2
615,6
616,4
617,4
618,1
619,7
620,1
621,2
622,1
623,3
624,3
625,1
626,3
627,1
628,4
629,2
630,1
631,7
632,4
633,7
634,2
635,1
636,6
637,6
638,5
639,7
640,5
641,3
642,5
643,2
644,4
645,1
646,4
647,6
648,6
649,6
650,7
