id,label
0,1
1,0
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,0
17,0
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,0
214,1
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,1
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,0
302,0
303,1
304,1
305,0
306,0
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,1
321,1
322,0
323,0
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,1
388,1
389,1
390,0
391,0
392,1
393,1
394,0
395,0
396,1
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,1
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,0
420,0
421,1
422,1
423,1
424,0
425,1
426,0
427,1
428,0
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,0
444,0
445,0
446,1
447,1
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,0
496,1
497,1
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,1
528,1
529,0
530,0
531,0
532,1
533,0
534,1
535,1
536,0
537,1
538,1
539,1
540,0
541,1
542,0
543,1
544,1
545,0
546,0
547,0
548,0
549,1
550,0
551,0
552,0
553,0
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,0
602,1
603,0
604,0
605,1
606,1
607,1
608,0
609,0
610,1
611,1
612,1
613,0
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,0
622,1
623,0
624,1
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,0
637,0
638,0
639,0
640,1
641,1
642,0
643,1
644,1
645,1
646,0
647,1
648,1
649,0
650,1
651,1
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,0
660,0
661,1
662,0
663,1
664,1
665,0
666,1
667,1
668,1
669,1
670,0
671,1
672,0
673,1
674,1
675,0
676,0
677,0
678,1
679,1
680,1
681,1
682,0
683,0
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,1
693,0
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,0
707,0
708,1
709,1
710,0
711,1
712,1
713,0
714,1
715,0
716,0
717,1
718,0
719,1
720,0
721,1
722,1
723,0
724,0
725,0
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,0
737,1
738,1
739,1
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,1
755,0
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,1
767,1
768,0
769,1
770,0
771,0
772,0
773,1
774,0
775,0
776,0
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,1
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,1
799,1
800,0
801,0
802,1
803,0
804,0
805,0
806,1
807,0
808,1
809,1
810,0
811,1
812,1
